zip,total,overall_total,percent_total
21225,4071.32,20328513.18,2.0027632930899868e-4
21226,3032.2,20328513.18,1.491599495325216e-4
21227,11353.08,20328513.18,5.584805882984897e-4
21228,103301,20328513.18,0.005081581672270633
21229,23745.39,20328513.18,0.001168082967492264
21230,116684.92,20328513.18,0.005739963319835868
21231,51431.23,20328513.18,0.00253000450867209
21232,328,20328513.18,1.6134972444649787e-5
21234,61279.74,20328513.18,0.0030144723058393393
21235,16.5,20328513.18,8.11667821148541e-7
21236,14840.77,20328513.18,7.300469969737354e-4
21237,11458.52,20328513.18,5.636673916355747e-4
21238,95,20328513.18,4.673238970249176e-6
21239,24702.59,20328513.18,0.0012151695395167116
21240,25,20328513.18,1.229799729012941e-6
21243,2,20328513.18,9.838397832103528e-8
21244,20889.98,20328513.18,0.0010276196697234304
21245,27.5,20328513.18,1.3527797019142352e-6
21246,25,20328513.18,1.229799729012941e-6
21248,27.5,20328513.18,1.3527797019142352e-6
21250,2000,20328513.18,9.838397832103528e-5
21251,74.7,20328513.18,3.674641590290668e-6
21252,100,20328513.18,4.919198916051764e-6
21257,57.08,20328513.18,2.807878741282347e-6
21258,45,20328513.18,2.213639512223294e-6
21282,1787.5,20328513.18,8.793068062442529e-5
21283,25,20328513.18,1.229799729012941e-6
21284,1263.5,20328513.18,6.215407830431404e-5
21285,279.1,20328513.18,1.3729484174700475e-5
21286,49783.92,20328513.18,0.0024489700530080775
21287,175,20328513.18,8.608598103090588e-6
21292,45,20328513.18,2.213639512223294e-6
21293,25,20328513.18,1.229799729012941e-6
21296,101,20328513.18,4.968390905212282e-6
21297,50,20328513.18,2.459599458025882e-6
2130,45,20328513.18,2.213639512223294e-6
21301,100,20328513.18,4.919198916051764e-6
21302,190,20328513.18,9.346477940498352e-6
21304,64,20328513.18,3.148287306273129e-6
21306,126,20328513.18,6.198190634225223e-6
21307,70,20328513.18,3.443439241236235e-6
21308,31,20328513.18,1.524951663976047e-6
21309,5.5,20328513.18,2.7055594038284703e-7
21310,21.5,20328513.18,1.0576277669511292e-6
21313,3,20328513.18,1.4757596748155293e-7
21317,15,20328513.18,7.378798374077646e-7
21318,188,20328513.18,9.248093962177317e-6
21328,60,20328513.18,2.9515193496310584e-6
21330,60,20328513.18,2.9515193496310584e-6
21334,25,20328513.18,1.229799729012941e-6
21336,20,20328513.18,9.838397832103528e-7
21344,67,20328513.18,3.295863273754682e-6
21401,258681.51,20328513.18,0.012725058035946337
21402,1472.22,20328513.18,7.242143028189729e-5
21403,188658.41,20328513.18,0.009280482459760493
21404,270.6,20328513.18,1.3311352266836074e-5
21405,11636.96,20328513.18,5.724452101813773e-4
21408,49,20328513.18,2.4104074688653642e-6
21409,67478.85,20328513.18,0.0033194188577641962
21412,10,20328513.18,4.919198916051764e-7
21422,44.5,20328513.18,2.189043517643035e-6
21428,40,20328513.18,1.9676795664207056e-6
21491,15,20328513.18,7.378798374077646e-7
